,title,imdbid,id,rating,year
158,Orphans of the Storm,0012532,1263,3,1921
159,"Kid, The",0012349,3945,0,1921
160,"Blot, The",0011979,4204,3,1921
161,K&ouml;rkarlen (The Phantom Carriage),0012364,5898,2,1921
162,"Nosferatu, eine Symphonie des Grauens",0013442,1307,2,1922
163,"Phantom, The",0013496,1631,2,1922
164,Nathan der Weise,0013428,1778,2,1922
165,"Man from Beyond, The",0013367,2001,1,1922
166,H&auml;xan: Witchcraft Through the Ages,0013257,3800,3,1922
167,"Paleface, The",0012543,5361,0,1922
168,Nanook of the North,0013427,5901,1,1922
169,Foolish Wives,0013140,5958,3,1922
170,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",0013086,5967,3,1922
171,Safety Last!,0014429,1961,0,1923
172,Why Worry?,0014611,1967,0,1923
173,"Silent Command, The",0014469,1998,2,1923
174,La souriante Madame Beudet,0013626,5888,3,1923
175,Our Hospitality,0014341,5949,0,1923
176,A Woman of Paris,0014624,8947,2,1923
177,Die Nibelungen,0015175,1337,2,1924
178,Kriemhild&#39;s Revenge,0015174,1338,2,1924
179,"Thief of Bagdad, The",0015400,1264,0,1924
180,Wild Oranges,0015498,1960,0,1924
181,"Navigator, The",0015163,2009,0,1924
182,Sherlock Jr.,0015324,2011,0,1924
183,Girl Shy,0014945,2016,0,1924
184,Manhandled,0015116,2020,3,1924
185,"Great White Silence, The",1764657,2413,0,1924
186,Help!,0013845,6209,0,1924
187,Greed,0015881,8458,3,1924
188,"Phantom of the Opera, The",0016220,1305,2,1925
189,Battleship Potemkin,0015648,1308,0,1925
190,"Gold Rush, The",0015864,1309,0,1925
191,Go West,0015863,1978,0,1925
192,"Freshman, The",0015841,2012,0,1925
193,Seven Chances,0016332,3077,0,1925
194,"Lost World, The",0016039,5514,2,1925
195,"Big Parade, The",0015624,5962,2,1925
196,Stachka,0015361,5991,0,1925
197,"Temptress, The",0017449,1334,1,1926
198,Flesh and the Devil,0016884,1260,1,1926
199,"General, The",0017925,1310,0,1926
200,For Heaven&#39;s Sake,0016895,1966,0,1926
201,So&#39;s Your Old Man,0017410,3217,3,1926
202,Die Abenteuer des Prinzen Achmed,0015532,5974,1,1926
203,It,0018033,1227,3,1927
204,Metropolis,0017136,1267,1,1927
205,Abel Gance&#39;s Napoleon,0018192,1312,2,1927
206,"Unknown, The",0018528,1311,0,1927
207,Sunrise: A Song of Two Humans,0018455,1632,2,1927
208,"Kid Brother, The",0018051,1964,0,1927
209,Nevada,0018199,1982,0,1927
210,My Best Girl,0018183,2010,3,1927
211,Wings,0018578,3118,1,1927
212,"Jazz Singer, The",0018037,5975,1,1927
213,Downhill [When Boys Leave Home],0017825,7324,1,1927
214,"Passion of Joan of Arc, The",0019254,1314,0,1928
215,Speedy,0019412,1963,0,1928
216,"Circus, The",0018773,1968,0,1928
217,"Cameraman, The",0018742,1970,0,1928
218,"Steamboat Bill, Jr.",0019421,1971,0,1928
219,"Racket, The",0019304,1972,0,1928
220,Beggars of Life,0018684,1977,0,1928
221,"Power of the Press, The",0019290,1979,1,1928
222,A Girl in Every Port,0018937,1980,0,1928
223,"Patsy, The",0019258,2013,3,1928
224,While the City Sleeps,0019571,2017,2,1928
225,"Man Who Laughs, The",0019130,2021,2,1928
226,"Crowd, The",0018806,5912,1,1928
227,"Docks of New York, The",0018839,5984,2,1928
228,Our Dancing Daughters,0019237,9314,2,1928
229,Un chien andalou,0020530,1313,0,1929
230,"Cocoanuts, The",0019777,1953,2,1929
231,Welcome Danger,0020572,1962,0,1929
232,Pandora&#39;s Box (Die B&uuml;chse der Pandora),0018737,2324,3,1929
233,Man with a Movie Camera,0019760,3897,0,1929
234,Blackmail,0019702,5979,2,1929
235,Throw of the Dice,0020286,6046,0,1929
236,Juno and the Paycock [The Shame of Mary Boyle],0021015,7287,3,1929
237,Broadway Melody,0019729,8464,3,1929
238,"Blue Angel, The",0020697,1315,1,1930
239,All Quiet on the Western Front,0020629,1316,0,1930
240,Anna Christie,0020641,1326,3,1930
241,Ladies of Leisure,0021040,3713,3,1930
242,L&#39;Age d&#39;Or,0021577,3871,0,1930
243,Morocco,0021156,3865,1,1930
244,Min and Bill,0021148,3927,3,1930
245,Be Yourself,0020670,4253,2,1930
246,"Bat Whispers, The",0020668,6782,3,1930
247,Murder!,0021165,7291,3,1930
