,cast_female_ratio,crew_female_ratio,directing_female_ratio,writing_female_ratio,bt_score
145,0.25,0.07142857142857142,0.0,0.3333333333333333,3.0
147,0.125,0.0,0.0,0.0,1.0
148,0.25,0.09090909090909091,0.0,0.3333333333333333,3.0
149,0.32142857142857145,0.08333333333333333,0.0,0.0,1.0
150,0.5882352941176471,0.0,0.0,0.0,3.0
151,0.17647058823529413,0.0,0.0,0.0,3.0
152,0.25,0.0,0.0,0.0,1.0
153,0.3076923076923077,0.09090909090909091,0.0,0.5,3.0
154,0.38461538461538464,0.4,0.0,0.5,1.0
155,0.3333333333333333,0.0,0.0,0.0,1.0
156,0.2857142857142857,0.0,0.0,0.0,1.0
157,0.45454545454545453,0.0,0.0,0.0,1.0
158,0.14285714285714285,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0,0.0
160,0.375,0.2857142857142857,0.0,1.0,3.0
161,0.5714285714285714,0.09090909090909091,0.0,0.5,3.0
162,0.5454545454545454,0.1,0.0,0.3333333333333333,3.0
163,0.3,0.0,0.0,0.0,3.0
164,0.3333333333333333,0.13043478260869565,0.0,0.5,3.0
165,0.375,0.0,0.0,0.0,2.0
166,0.4117647058823529,0.09090909090909091,0.5,0.0,3.0
167,0.4444444444444444,0.2,0.0,0.25,2.0
168,0.12903225806451613,0.07407407407407407,0.0,0.14285714285714285,1.0
169,0.42857142857142855,0.16666666666666666,0.0,0.25,3.0
170,0.4,0.15384615384615385,0.0,0.4,3.0
171,0.375,0.2,0.0,0.25,3.0
172,0.21428571428571427,0.1,0.0,0.0,1.0
173,0.34545454545454546,0.0,0.0,0.0,3.0
174,0.25,0.13333333333333333,0.0,0.25,2.0
175,0.3333333333333333,0.0625,0.0,0.0,1.0
176,0.1388888888888889,0.0,0.0,0.0,0.0
177,0.17391304347826086,0.0,0.0,0.0,1.0
178,0.18181818181818182,0.08333333333333333,0.0,0.5,1.0
179,0.43478260869565216,0.13333333333333333,0.0,0.5,2.0
180,0.2857142857142857,0.0,0.0,0.0,3.0
181,0.24561403508771928,0.05555555555555555,0.0,0.0,3.0
182,0.35,0.0,0.0,0.0,3.0
183,0.18181818181818182,0.14285714285714285,0.0,0.0,0.0
184,0.3,0.0,0.0,0.0,3.0
185,0.5,0.09090909090909091,0.0,0.5,3.0
186,0.3333333333333333,0.0,0.0,0.0,3.0
187,0.3333333333333333,0.0,0.0,0.0,3.0
188,0.6153846153846154,0.1875,0.0,0.5,3.0
189,0.36363636363636365,0.25,0.0,0.3333333333333333,3.0
191,0.1111111111111111,0.0,0.0,0.0,3.0
192,0.4,0.0,0.0,0.0,2.0
193,0.25,0.08333333333333333,0.0,0.25,3.0
194,0.18095238095238095,0.05263157894736842,0.0,0.0,2.0
196,0.3333333333333333,0.0,0.0,0.0,3.0
197,0.21428571428571427,0.1,0.0,0.0,3.0
198,0.18,0.0,0.0,0.0,1.0
200,0.47368421052631576,0.18181818181818182,0.0,0.6666666666666666,3.0
201,0.23076923076923078,0.08333333333333333,0.0,0.25,2.0
202,0.30612244897959184,0.0,0.0,0.0,2.0
203,0.3333333333333333,0.08333333333333333,0.0,0.0,2.0
204,0.25,0.0,0.0,0.0,1.0
205,0.2777777777777778,0.07142857142857142,0.0,0.25,2.0
207,0.3076923076923077,0.0,0.0,0.0,2.0
208,0.39285714285714285,0.0,0.0,0.0,0.0
209,0.37037037037037035,0.058823529411764705,0.0,0.3333333333333333,3.0
211,0.3611111111111111,0.041666666666666664,0.0,0.0,3.0
212,0.21428571428571427,0.11764705882352941,0.5,0.2,3.0
213,0.6,0.058823529411764705,0.0,0.0,3.0
214,0.4,0.0,0.0,0.0,3.0
215,0.2,0.0,0.0,0.0,1.0
216,0.26666666666666666,0.09090909090909091,0.0,0.25,2.0
217,0.5555555555555556,0.14285714285714285,0.0,0.3333333333333333,3.0
218,0.4444444444444444,0.0,0.0,0.0,3.0
219,0.0,0.0,0.0,0.0,0.0
220,0.2708333333333333,0.10344827586206896,0.0,0.0,2.0
221,0.42857142857142855,0.0,0.0,0.0,2.0
222,0.09523809523809523,0.13333333333333333,0.0,0.6666666666666666,0.0
223,0.09523809523809523,0.0,0.0,0.0,2.0
224,0.2857142857142857,0.07692307692307693,0.0,0.5,3.0
225,0.42857142857142855,0.5,0.0,0.6666666666666666,3.0
226,0.43478260869565216,0.08333333333333333,0.5,0.0,3.0
227,0.23809523809523808,0.09090909090909091,0.0,0.0,1.0
229,0.9152542372881356,0.17857142857142858,0.0,0.6,3.0
230,0.1875,0.02857142857142857,0.0,0.0,3.0
231,0.2903225806451613,0.14285714285714285,0.0,0.25,2.0
232,0.19444444444444445,0.07692307692307693,0.0,0.3333333333333333,2.0
233,0.3333333333333333,0.0,0.0,0.0,3.0
234,0.12244897959183673,0.0,0.0,0.0,2.0
235,0.32608695652173914,0.0,0.0,0.0,3.0
236,0.2857142857142857,0.07692307692307693,0.5,0.0,2.0
237,0.2,0.0,0.0,0.0,2.0
238,0.11363636363636363,0.09090909090909091,0.0,0.0,2.0
239,0.2727272727272727,0.16666666666666666,0.0,0.3333333333333333,2.0
240,0.29411764705882354,0.0,0.0,0.0,2.0
241,0.23809523809523808,0.0,0.0,0.0,0.0
242,0.16666666666666666,0.1111111111111111,0.0,0.5,0.0
243,0.1282051282051282,0.16666666666666666,0.0,0.3333333333333333,2.0
244,0.16666666666666666,0.0,0.0,0.0,3.0
245,0.15789473684210525,0.0,0.0,0.0,1.0
246,0.22727272727272727,0.0,0.0,0.0,1.0
247,0.34615384615384615,0.1875,0.0,0.0,3.0
248,0.3333333333333333,0.07692307692307693,0.0,0.5,3.0
249,0.23076923076923078,0.1,0.0,0.25,3.0
250,0.171875,0.1111111111111111,0.0,0.5,3.0
251,0.1111111111111111,0.07692307692307693,0.0,0.0,3.0
252,0.14553990610328638,0.06666666666666667,0.0,0.0,2.0
253,0.2,0.2,0.0,0.5,3.0
254,0.20689655172413793,0.0,0.0,0.0,2.0
255,0.125,0.0,0.0,0.0,0.0
256,0.4,0.043478260869565216,0.0,0.25,3.0
257,0.25,0.013333333333333334,0.0,0.0,1.0
258,0.2,0.08108108108108109,0.0,0.4,3.0
259,0.2413793103448276,0.0,0.0,0.0,0.0
260,0.18421052631578946,0.11764705882352941,0.0,0.5,3.0
261,0.12,0.0,0.0,0.0,2.0
262,0.14666666666666667,0.05,0.0,0.0,1.0
263,0.05405405405405406,0.07692307692307693,0.0,0.25,0.0
264,0.09433962264150944,0.0,0.0,0.0,0.0
265,0.6078431372549019,0.13333333333333333,0.3333333333333333,0.5,2.0
266,0.21428571428571427,0.0,0.0,0.0,2.0
267,0.17355371900826447,0.037037037037037035,0.0,0.0,3.0
268,0.17391304347826086,0.0,0.0,0.0,0.0
269,0.34782608695652173,0.0,0.0,0.0,3.0
270,0.175,0.0,0.0,0.0,1.0
272,0.08771929824561403,0.0,0.0,0.0,3.0
273,0.13559322033898305,0.09090909090909091,0.0,0.0,3.0
274,0.3783783783783784,0.5,0.0,0.6666666666666666,3.0
275,0.30303030303030304,0.2,0.0,0.3333333333333333,3.0
276,0.23809523809523808,0.2727272727272727,1.0,0.6666666666666666,3.0
278,0.25,0.0,0.0,0.0,0.0
279,0.42105263157894735,0.25,0.0,0.3333333333333333,3.0
280,0.1782178217821782,0.2,0.0,0.25,1.0
282,0.11627906976744186,0.0,0.0,0.0,1.0
283,0.625,0.2,0.0,0.25,2.0
284,0.29411764705882354,0.0,0.0,0.0,3.0
285,0.13636363636363635,0.0,0.0,0.0,1.0
286,0.152317880794702,0.05714285714285714,0.0,0.2,1.0
287,0.21428571428571427,0.0625,0.0,0.25,2.0
288,0.21739130434782608,0.18518518518518517,0.0,0.6666666666666666,2.0
289,0.2631578947368421,0.06666666666666667,0.25,0.0,2.0
290,0.26666666666666666,0.0,0.0,0.0,3.0
291,0.2857142857142857,0.0,0.0,0.0,1.0
292,0.35714285714285715,0.1,0.0,0.0,2.0
293,0.5,0.4,0.0,0.5,3.0
294,0.11764705882352941,0.0,0.0,0.0,0.0
295,0.3888888888888889,0.0,0.0,0.0,3.0
296,0.375,0.0,0.0,0.0,3.0
297,0.10526315789473684,0.06666666666666667,0.0,0.0,3.0
298,0.15384615384615385,0.1111111111111111,0.0,0.0,3.0
299,0.7777777777777778,0.0,0.0,0.0,1.0
300,0.35714285714285715,0.14285714285714285,0.0,0.5,3.0
301,0.4444444444444444,0.07692307692307693,0.0,0.25,0.0
302,0.25,0.07142857142857142,0.0,0.0,3.0
303,0.19047619047619047,0.0,0.0,0.0,3.0
304,0.46153846153846156,0.0,0.0,0.0,3.0
305,0.35,0.1,0.0,0.0,3.0
306,0.5416666666666666,0.08333333333333333,0.0,0.5,3.0
307,0.12380952380952381,0.030303030303030304,0.0,0.2,1.0
308,0.3333333333333333,0.05555555555555555,0.0,0.0,2.0
309,0.18181818181818182,0.0,0.0,0.0,1.0
311,0.5,0.07142857142857142,0.0,0.0,3.0
312,0.25,0.0,0.0,0.0,0.0
313,0.25925925925925924,0.13043478260869565,0.0,0.0,2.0
314,0.42105263157894735,0.0,0.0,0.0,3.0
315,0.35714285714285715,0.0,0.0,0.0,3.0
316,0.18181818181818182,0.0,0.0,0.0,0.0
317,0.15384615384615385,0.0,0.0,0.0,1.0
318,0.45,0.17647058823529413,0.3333333333333333,0.6666666666666666,1.0
319,0.45,0.17647058823529413,0.3333333333333333,0.6666666666666666,1.0
320,0.3888888888888889,0.07692307692307693,0.0,0.2,3.0
321,0.5555555555555556,0.07692307692307693,0.0,0.3333333333333333,3.0
322,0.3333333333333333,0.14285714285714285,0.0,0.5,3.0
323,0.42857142857142855,0.08333333333333333,0.0,0.0,1.0
324,0.5,0.125,0.0,0.6666666666666666,3.0
325,0.2631578947368421,0.1875,0.5,0.5,1.0
326,0.0,0.08333333333333333,0.5,0.0,0.0
327,0.0,0.0,0.0,0.0,0.0
328,0.75,0.13333333333333333,0.0,0.0,3.0
329,0.375,0.23529411764705882,0.0,0.0,3.0
330,0.18181818181818182,0.0,0.0,0.0,2.0
331,0.46153846153846156,0.09090909090909091,0.0,0.0,3.0
332,0.45161290322580644,0.2,0.0,0.5,3.0
333,0.05555555555555555,0.0,0.0,0.0,0.0
334,0.8666666666666667,0.0,0.0,0.0,3.0
335,0.0,0.0,0.0,0.0,0.0
336,0.125,0.0,0.0,0.0,1.0
338,0.25,0.0,0.0,0.0,1.0
339,0.15384615384615385,0.0,0.0,0.0,1.0
340,0.38461538461538464,0.07142857142857142,0.0,0.0,3.0
341,0.2857142857142857,0.0,0.0,0.0,1.0
342,0.23333333333333334,0.041666666666666664,0.0,0.0,3.0
343,0.3,0.09090909090909091,0.0,0.3333333333333333,2.0
344,0.5,0.17647058823529413,0.0,0.3333333333333333,3.0
345,0.15789473684210525,0.1,0.0,0.0,2.0
346,0.15384615384615385,0.08333333333333333,0.0,0.0,0.0
347,0.13725490196078433,0.13636363636363635,0.0,0.0,1.0
348,0.35714285714285715,0.07142857142857142,0.0,0.2,3.0
349,0.6571428571428571,0.34285714285714286,0.0,0.5,3.0
350,0.34285714285714286,0.16666666666666666,0.2,0.6666666666666666,3.0
351,0.2,0.0,0.0,0.0,3.0
352,0.3333333333333333,0.3,0.0,0.5,3.0
353,0.21052631578947367,0.16666666666666666,0.0,0.6666666666666666,3.0
354,0.2727272727272727,0.0625,0.0,0.0,3.0
355,0.42857142857142855,0.0392156862745098,0.0,0.1,0.0
356,0.25,0.0,0.0,0.0,3.0
357,0.6666666666666666,0.14285714285714285,0.0,0.3333333333333333,3.0
358,0.25,0.0,0.0,0.0,1.0
359,0.4107142857142857,0.0,0.0,0.0,3.0
360,0.35714285714285715,0.0,0.0,0.0,3.0
361,0.3333333333333333,0.3333333333333333,0.0,0.5,3.0
362,0.4,0.04,0.0,0.0,3.0
363,0.08333333333333333,0.0,0.0,0.0,0.0
